"ბუნება","Language"
"ფიზიკის კანონების მათემატიკური გამონათქვამები იყენებს ოცი ფიზიკური მუდმივების ერთობლიობას[82]","Georgian"
"[83] ამ მუდმივების მნიშვნელობები საგულდაგულოდ იქნა გაზომილი","Georgian"
"გარე სივრცე","Georgian"
"გარე სივრცე გამოიყენება მისი საჰაერო სივრცისგან (და ხმელეთის მდებარეობებისგან) გასარჩევად.","Georgian"
"არ არსებობს დისკრეტული საზღვარი დედამიწის ატმოსფეროსა და სივრცეს შორის","Georgian"
"მზის სისტემის გარე სივრცეს ეწოდება პლანეტათაშორისი სივრცე","Georgian"
"გარე სივრცე იშვიათად ივსება მიკროტალღური სპექტროსკოპიით აღმოჩენილი ორგანული მოლეკულების რამდენიმე ათეული სახეობით","Georgian"
"ასევე არის გაზი","Georgian"
"გარდა ამისა","Georgian"
"ამ ნარჩენების ნაწილი პერიოდულად ხელახლა ხვდება ატმოსფეროში.","Georgian"
"მიუხედავად იმისა","Georgian"
"[84] მარსის ისტორიის ხანმოკლე პერიოდის განმავლობაში","Georgian"
"თუმცა ამჟამად მარსზე დარჩენილი წყლის უმეტესი ნაწილი გაყინულია.","Georgian"
"თუ სიცოცხლე საერთოდ არსებობს მარსზე","Georgian"
"[85] სხვა ხმელეთის პლანეტებზე","Georgian"
"მაგრამ ვარაუდობენ","Georgian"
"[86] ასტრონომებმა დაიწყეს დედამიწის ექსტრამზის ანალოგების აღმოჩენა - პლანეტები","Georgian"
"[87] მედია: ორგანიზაციები: ფილოსოფია: Wikipedia (/ËŒwÉªkÉªËˆpiËdiÉ™/ (მოსმენა) wik-ih-PEE-dee-É™ ან /ËŒwÉªki-/ (მოსმენა) wik-ee-) არის მრავალენოვანი ღია კოლაბორატივი ონლაინ. ენციკლოპედია შექმნილი და დაცულია მოხალისე რედაქტორების საზოგადოების მიერ ვიკიზე დაფუძნებული რედაქტირების სისტემის გამოყენებით.","Georgian"
"ის არის 15 ყველაზე პოპულარულ ვებსაიტს შორის","Georgian"
"[4] რეკლამის გარეშე","Georgian"
"ვიკიპედია შეიქმნა 2001 წლის 15 იანვარს ჯიმი უელსისა და ლარი სენგერის მიერ.","Georgian"
"სანჯერმა დაარქვა თავისი სახელი[5][6]","Georgian"
"თავდაპირველად ეს იყო ინგლისურენოვანი ენციკლოპედია","Georgian"
"მთლიანობაში","Georgian"
"[8][9] ვიკიპედია გააკრიტიკეს მისი არათანაბარი სიზუსტისა და სისტემური მიკერძოების გამოვლენისთვის","Georgian"
"[4] ჩატარდა Edit-a-thons ქალი რედაქტორების წახალისებისა და ქალთა თემების გაშუქების გაზრდის მიზნით.","Georgian"
"[10] 2006 წელს ჟურნალმა Time-მა განაცხადა","Georgian"
"[11] პროექტის რეპუტაცია კიდევ უფრო გაუმჯობესდა 2010-იან წლებში","Georgian"
"[4] 2018 წელს Facebook-მა და YouTube-მა გამოაცხადეს","Georgian"
"[12] ვიკიპედიამდე სცადეს სხვა ერთობლივი ონლაინ ენციკლოპედიები","Georgian"
"[13] ვიკიპედია დაიწყო","Georgian"
"[14] იგი დაარსდა 2000 წლის 9 მარტს","Georgian"
"მისი მთავარი ფიგურები იყვნენ Bomis-ის აღმასრულებელი დირექტორი ჯიმი უელსი და ლარი სენგერი","Georgian"
"[15][16] ნუპედია თავდაპირველად ლიცენზირებული იყო საკუთარი Nupedia ღია კონტენტის ლიცენზიით","Georgian"
"[17] უელსს მიენიჭა საჯარო რედაქტირებადი ენციკლოპედიის შექმნის მიზნის განსაზღვრა","Georgian"
"[20] 2001 წლის 10 იანვარს სენგერმა შესთავაზა Nupedia-ს დაგზავნის სიაში შექმნათ ვიკი","Georgian"
"[21] დომენები wikipedia.com და wikipedia.org დარეგისტრირდა 2001 წლის 12 იანვარს","Georgian"
"[18] ვიკიპედიის პოლიტიკა „ნეიტრალური თვალსაზრისის“[25] კოდიფიცირებული იყო მის პირველ თვეებში.","Georgian"
"წინააღმდეგ შემთხვევაში","Georgian"
"[18] თავდაპირველად ბომისი აპირებდა ვიკიპედიას მოგების ბიზნესად აქციოს.","Georgian"
"[26] ვიკიპედიამ მოიპოვა ადრეული კონტრიბუტორები Nupedia-დან","Georgian"
"ასევე შეიქმნა ენობრივი გამოცემები","Georgian"
"[27] ნუპედია და ვიკიპედია თანაარსებობდნენ მანამ","Georgian"
"ინგლისურმა ვიკიპედიამ გადალახა ორი მილიონი სტატიის ნიშანი 2007 წლის 9 სექტემბერს","Georgian"
"[28] კომერციული რეკლამის შიშისა და ვიკიპედიაში კონტროლის არარსებობის მოტივით","Georgian"
"[29] შემდეგ უელსმა გამოაცხადა","Georgian"
"[30][31] მიუხედავად იმისა","Georgian"
"[32] 2006 წელს ენციკლოპედიას ყოველდღიურად ემატებოდა დაახლოებით 1800 სტატია","Georgian"
"[33] პალო ალტოს კვლევითი ცენტრის ჯგუფმა ზრდის ამ შენელებას მიაწერა პროექტის ექსკლუზიურობისა და ცვლილებებისადმი წინააღმდეგობის გაზრდის გამო.","Georgian"
"[34] სხვები ვარაუდობენ","Georgian"
"[35][36][37] 2009 წლის ნოემბერში","Georgian"
"[38][39] Wall Street Journal-მა ამ ტენდენციის მიზეზებს შორის მოიხსენია წესების მთელი რიგი","Georgian"
"[40] უელსმა 2009 წელს უარყო ეს პრეტენზიები","Georgian"
"[41] ორი წლის შემდეგ","Georgian"
"იმავე ინტერვიუში უელსმა ასევე განაცხადა","Georgian"
"[42] 2013 წლის სტატია სახელწოდებით ""ვიკიპედიის დაცემა"" MIT Technology Review-ში ეჭვქვეშ აყენებს ამ განცხადებას.","Georgian"
"სტატიამ გამოავლინა","Georgian"
"[43] 2012 წლის ივლისში The Atlantic-მა განაცხადა","Georgian"
"[44] 2013 წლის 25 ნოემბრის ჟურნალის ნიუ-იორკის ნომერში","Georgian"
"[45] 2007 წლის იანვარში","Georgian"
"ეს მნიშვნელოვანი ზრდა იყო 2006 წლის იანვართან შედარებით","Georgian"
"[46] 2020 წლის მარტის მდგომარეობით [განახლება]","Georgian"
"2014 წელს ის ყოველთვიურად რვა მილიარდი გვერდის ნახვას იღებდა.","Georgian"
"[47] 2014 წლის 9 თებერვალს The New York Times-მა განაცხადა","Georgian"
"[8] ლავლენდი და რეიგლი ამტკიცებენ","Georgian"
"[48][49] 2012 წლის 18 იანვარს ინგლისურმა ვიკიპედიამ მონაწილეობა მიიღო კოორდინირებულ პროტესტში შეერთებული შტატების კონგრესის ორი შემოთავაზებული კანონის წინააღმდეგ - Stop Online Piracy Act (SOPA) და ProTECT IP Act (PIPA)"". €” მისი გვერდების 24 საათის განმავლობაში გაშავებით.","Georgian"
"[50] 162 მილიონზე მეტმა ადამიანმა ნახა ბნელი ახსნის გვერდი","Georgian"
"[51][52] 2014 წლის 20 იანვარს","Georgian"
"2012 წლის დეკემბრიდან 2013 წლის დეკემბრამდე დაახლოებით ორი მილიარდი შემცირდა.","Georgian"
"მისი ყველაზე პოპულარული ვერსიები ლიდერობენ სლაიდს: ინგლისური ვიკიპედიის გვერდების ნახვები შემცირდა თორმეტი პროცენტით","Georgian"
"[53] ვარმამ დაამატა, რომ მიუხედავად იმისა","Georgian"
"[53] როდესაც დაუკავშირდნენ ამ საკითხს","Georgian"
"[53] 2016 წლის დეკემბრის ბოლოს","Georgian"
"[54] 2013 წლის იანვარში 274301 ვიკიპედია","Georgian"
"2019 წლის აპრილში","Georgian"
"[55][56] 2019 წლის ივნისში მეცნიერებმა განაცხადეს","Georgian"
"[57] ტრადიციული ენციკლოპედიებისგან განსხვავებით","Georgian"
"[60] ის თითქმის მთლიანად ღიად დაიწყო – ნებისმიერს შეეძლო სტატიების შექმნა და ვიკიპედიის ნებისმიერი სტატიის რედაქტირება ნებისმიერ მკითხველს შეეძლო","Georgian"
"ყველა სტატიის ცვლილებები დაუყოვნებლივ გამოქვეყნდება.","Georgian"
"შედეგად","Georgian"
"ვიკიპედიის მზარდი პოპულარობის გამო","Georgian"
"მაგალითად","Georgian"
"[61] ინგლისურ ვიკიპედიაში","Georgian"
"[62][63] ხშირად ვანდალირებული სტატია შეიძლება იყოს ნახევრად დაცული ან გაფართოებული დადასტურებული დაცული","Georgian"
"[64] განსაკუთრებით საკამათო სტატია შეიძლება დაიბლოკოს ისე","Georgian"
"[65] 2021 წლის სტატიაში Columbia Journalism Review-ში ვიკიპედიის გვერდების დაცვის პოლიტიკა იყო განსაზღვრული","Georgian"
"[66] ზოგიერთ შემთხვევაში","Georgian"
"მაგალითად","Georgian"
"გაჭიანურებული გამოცდებისა და საზოგადოების დისკუსიის შემდეგ","Georgian"
"[68] ამ სისტემის თანახმად","Georgian"
"[69] მიუხედავად იმისა","Georgian"
"თითოეული სტატიის ""ისტორიის"" გვერდი მიბმულია თითოეულ რედაქციასთან.","Georgian"
"[შენიშვნა 4][70] სტატიების უმეტესობაში ნებისმიერს შეუძლია გააუქმოს სხვების ცვლილებები სტატიის ისტორიის გვერდზე ბმულზე დაწკაპუნებით.","Georgian"
"ნებისმიერს შეუძლია სტატიების უახლესი ცვლილებების ნახვა და ნებისმიერს შეუძლია შეინახოს მათთვის საინტერესო სტატიების „საყურადღებო სია“","Georgian"
"„ახალი გვერდების პატრული“ არის პროცესი","Georgian"
"[71] 2003 წელს ეკონომიკის დოქტორი. სტუდენტი ანდრეა ციფოლილი ამტკიცებდა","Georgian"
"[72] ნებისმიერი ცვლილება ან რედაქტირება","Georgian"
"ვანდალიზმის ყველაზე გავრცელებული და აშკარა ტიპები მოიცავს უხამსობისა და უხეში იუმორის დამატებას.","Georgian"
"ვანდალიზმი ასევე შეიძლება მოიცავდეს რეკლამას და სხვა სახის სპამს.","Georgian"
"[73] ზოგჯერ რედაქტორები სჩადიან ვანდალიზმს კონტენტის წაშლის ან მოცემული გვერდის მთლიანად დაცლის გზით.","Georgian"
"ვანდალიზმის ნაკლებად გავრცელებული ტიპები","Georgian"
"ვანდალებს შეუძლიათ დანერგონ შეუსაბამო ფორმატირება","Georgian"
"[75][76] თუმცა","Georgian"
"[77] სეიგენთალერის ბიოგრაფიის ინციდენტში ანონიმურმა რედაქტორმა 2005 წლის მაისში ამერიკელი პოლიტიკური მოღვაწის ჯონ სეიგენტალერის ბიოგრაფიაში ცრუ ინფორმაცია შეიტანა.","Georgian"
"სეიგენტალერი ცრუ წარდგენილ იქნა ჯონ ფ.-ს მკვლელობაში ეჭვმიტანილად.","Georgian"
"კენედი.","Georgian"
"[77] სტატია გაუსწორებელი დარჩა ოთხი თვის განმავლობაში.","Georgian"
"[77] Seigenthaler","Georgian"
"უელსმა უპასუხა","Georgian"
"[78][79] ინციდენტის შემდეგ","Georgian"
"[77] ამ ინციდენტმა გამოიწვია ვიკიპედიაში პოლიტიკის ცვლილებები","Georgian"
"[80] 2010 წელს დენიელ ტოშმა მოუწოდა თავისი შოუს Tosh.0 მაყურებელს ეწვიონ შოუს ვიკიპედიის სტატიას და დაარედაქტირონ ის სურვილისამებრ.","Georgian"
"მოგვიანებით ეპიზოდში მან კომენტარი გააკეთა სტატიის რედაქტირებზე","Georgian"
"[81][82] ვიკიპედიელებს ხშირად აქვთ დავა შინაარსთან დაკავშირებით","Georgian"
"[83][84] პროცესი ფართოდ განიხილება","Georgian"
"[85] ეს პრაქტიკა ასევე კრიტიკულია","Georgian"
"სპეციალური ინტერესების ჯგუფები ჩაერთნენ რედაქტირების ომებში საკუთარი პოლიტიკური ინტერესების წინსვლისთვის.","Georgian"
"ვიკიპედიის კონტენტი ექვემდებარება შეერთებული შტატების კანონებს (კერძოდ","Georgian"
"იურიდიული საკითხების გარდა","Georgian"
"ეს წესებიც კი ინახება ვიკის სახით და ვიკიპედიის რედაქტორები წერენ და ათვალიერებენ ვებსაიტის პოლიტიკასა და მითითებებს.","Georgian"
"[89] რედაქტორებს შეუძლიათ აღასრულონ ეს წესები შეუსაბამო მასალის წაშლით ან შეცვლით.","Georgian"
"თავდაპირველად","Georgian"
"მას შემდეგ ისინი გარკვეულწილად განსხვავდებიან.","Georgian"
"[67] ინგლისური ვიკიპედიის წესების მიხედვით","Georgian"
"[90] თემა ასევე უნდა აკმაყოფილებდეს ვიკიპედიის სტანდარტებს „აღსანიშნავად“","Georgian"
"გარდა ამისა","Georgian"
"[92] მან არ უნდა წარმოადგინოს ორიგინალური კვლევა.","Georgian"
"პრეტენზია","Georgian"
"ვიკიპედიის რედაქტორებს შორის","Georgian"
"[93] ამან შეიძლება ზოგჯერ გამოიწვიოს ინფორმაციის წაშლა","Georgian"
"[94] და ბოლოს","Georgian"
"[95] ყველა მოსაზრება და შეხედულება","Georgian"
"ეს ცნობილია როგორც ნეიტრალური თვალსაზრისი (NPOV).","Georgian"
"ვიკიპედიის თავდაპირველი ანარქია დროთა განმავლობაში აერთიანებდა დემოკრატიულ და იერარქიულ ელემენტებს.","Georgian"
"[96][97] სტატია არ ითვლება მისი შემქმნელის ან სხვა რედაქტორის საკუთრებად და არც სტატიის საგნის საკუთრებად.","Georgian"
"[98] რედაქტორებს","Georgian"
"სახელის მიუხედავად","Georgian"
"[101][102] ნაკლები რედაქტორი ხდება ადმინისტრატორი","Georgian"
"[103] ბიუროკრატები ასახელებენ ახალ ადმინისტრატორებს მხოლოდ საზოგადოების რეკომენდაციების საფუძველზე.","Georgian"
"დროთა განმავლობაში ვიკიპედიამ შეიმუშავა დავების გადაწყვეტის ნახევრად ფორმალური პროცესი","Georgian"
"საზოგადოების კონსენსუსის დასადგენად","Georgian"
"საარბიტრაჟო კომიტეტი ხელმძღვანელობს დავების საბოლოო გადაწყვეტის პროცესს.","Georgian"
"მიუხედავად იმისა","Georgian"
"სტატისტიკური ანალიზი ვარაუდობს","Georgian"
"ამიტომ","Georgian"
"მისი საშუალებები მოიცავს გაფრთხილებას და გამოსაცდელს (გამოიყენება შემთხვევების 63%-ში) და რედაქტორებისთვის სტატიების (43%)","Georgian"
"ვიკიპედიის სრული აკრძალვა","Georgian"
"როდესაც ქცევა არ არის საკუთარი თავის განსახიერება ან ანტისოციალური","Georgian"
"[105] ვიკიპედიის თითოეულ სტატიას და თითოეულ მომხმარებელს აქვს ასოცირებული ""საუბრის"" გვერდი.","Georgian"
"ისინი ქმნიან მთავარ საკომუნიკაციო არხს რედაქტორებისთვის განხილვის","Georgian"
"[106] ვიკიპედიის საზოგადოება აღწერილია","Georgian"
"[108] პროექტის უპირატესობა შეკრულობაზე","Georgian"
"[109] ვიკიპედიელები ზოგჯერ აჯილდოვებენ ერთმანეთს ვირტუალურ ვარსკვლავებს კარგი მუშაობისთვის.","Georgian"
"მადლიერების ეს პერსონალიზებული ნიშნები ავლენს ღირებული ნამუშევრების ფართო სპექტრს","Georgian"
"[110] ვიკიპედია არ მოითხოვს","Georgian"
"[111] ვიკიპედიის ზრდასთან ერთად","Georgian"
"გახდა ერთ-ერთი ყველაზე ხშირად დასმული კითხვა პროექტზე.","Georgian"
"[112] ჯიმი უელსი ერთხელ ამტკიცებდა","Georgian"
"[113] 2008 წელს","Georgian"
"[114] წვლილის შეფასების ეს მეთოდი მოგვიანებით დაუპირისპირდა აარონ სვარცს","Georgian"
"[115] ინგლისურ ვიკიპედიას აქვს 6","Georgian"
"რედაქტორი ითვლება აქტიურად","Georgian"
"რედაქტორებმა","Georgian"
"ვიკიპედიის ინსაიდერად გახდომა მოითხოვს არა ტრივიალურ ხარჯებს: მოსალოდნელია","Georgian"
"[116] რედაქტორები","Georgian"
"2007 წელს დარტმუთის კოლეჯის მკვლევარების მიერ ჩატარებულმა კვლევამ აჩვენა","Georgian"
"[118] ჯიმი უელსმა 2009 წელს განაცხადა","Georgian"
"[113] თუმცა","Georgian"
"[113] 2008 წელს ჩატარებულმა კვლევამ აჩვენა","Georgian"
"[121] 2009 წლის კვლევის მიხედვით","Georgian"
"[122] რამდენიმე კვლევამ აჩვენა","Georgian"
"აღსანიშნავია","Georgian"
"[123] ამის გამო","Georgian"
"ანალოგიურად","Georgian"
"[124] ენდრიუ ლიჰმა","Georgian"
"[125] მონაცემებმა აჩვენა","Georgian"
"[126] ამჟამად არსებობს ვიკიპედიის 317 ენობრივი გამოცემა (ასევე უწოდებენ ენობრივ ვერსიებს","Georgian"
"2021 წლის იანვრის მდგომარეობით","Georgian"
"[127] სიდიდით მეორე და მესამე ვიკიპედიები თავიანთ პოზიციას აკისრია სტატიის შემქმნელ ბოტ Lsjbot-ს","Georgian"
"ეს უკანასკნელი ფილიპინების ორივე ენაა.","Georgian"
"ექვსეულის გარდა","Georgian"
"[128][129] ყველაზე დიდს","Georgian"
"2019 წლის იანვრისთვის[განახლება]","Georgian"
"ვინაიდან ვიკიპედია დაფუძნებულია ინტერნეტზე და","Georgian"
"ამ განსხვავებებმა შეიძლება გამოიწვიოს გარკვეული კონფლიქტები ორთოგრაფიული განსხვავებების გამო (მაგ.","Georgian"
"ფერი ფერის წინააღმდეგ)[132] ან თვალსაზრისი.","Georgian"
"[133] მიუხედავად იმისა","Georgian"
" ჯიმი უელსი აღწერს ვიკიპედიას","Georgian"
"ინდოეთი არის ქვეყანა","Georgian"
" ამაყობს მდიდარი კულტურით.","Georgian"
"ინდოეთის კულტურა ეხება","Georgian"
" მცირე უნიკალური კულტურების კოლექცია.","Georgian"
" ინდოეთის კულტურა მოიცავს","Georgian"
" ტანსაცმლის","Georgian"
"რელიგიები","Georgian"
" საკვები და ხელოვნება ინდოეთში.","Georgian"
"ყველაზე საყურადღებო","Georgian"
"ინდური კულტურა ყოფილა","Georgian"
"რამდენიმე უცხოური გავლენის ქვეშ","Georgian"
"კულტურები მთელი თავისი ისტორიის განმავლობაში.","Georgian"
" ასევე","Georgian"
"ინდოეთის კულტურის","Georgian"
"არის რამდენიმე მილიონი","Georgian"
"ლენია ძველი.","Georgian"
"Პირველ რიგში","Georgian"
"ინდური წარმოშობის რელიგიებია ინდუიზმი","Georgian"
" ბუდიზმი","Georgian"
" ყველა ეს რელიგია","Georgian"
"დაფუძნებულია კარმასა და დჰარმაზე.","Georgian"
"უფრო მეტიც","Georgian"
"ინდურ რელიგიებს უწოდებენ.","Georgian"
" ინდური რელიგიები მთავარია","Georgian"
" მსოფლიო რელიგიების კატეგორიასთან ერთად","Georgian"
" აბრაამულ რელიგიებთან.","Georgian"
"ასევე","Georgian"
"იმყოფება ინდოეთშიც.","Georgian"
"ეს უცხო რელიგიები","Georgian"
"მოიცავს აბრაამულ რელიგიებს.","Georgian"
" აბრაამული რელიგიები ინდოეთში","Georgian"
" რა თქმა უნდა არის იუდაიზმი","Georgian"
" ქრისტიანობა და ისლამი.","Georgian"
" აბრაამული რელიგიების გარდა","Georgian"
"ზოროასტრიზმი და ბაჰაის რწმენა არის","Georgian"
"სხვა უცხო რელიგიები","Georgian"
" რომლებიც ინდოეთში არსებობს.","Georgian"
" შესაბამისად","Georgian"
" ამდენმა მრავალფეროვანმა რელიგიამ წარმოშვა","Georgian"
" ტოლერანტობისკენ და","Georgian"
" სეკულარიზმი ინდურ კულტურაში.","Georgian"
"ერთობლივი საოჯახო სისტემა არის","Georgian"
" ინდური კულტურის გაბატონებული სისტემა.","Georgian"
"ყველაზე საყურადღებოა ოჯახის წევრები","Georgian"
" შედგება მშობლებისგან","Georgian"
"ბავშვების მეუღლეები და შთამომავლები.","Georgian"
" ყველა ეს ოჯახი","Georgian"
"წევრები ერთად ცხოვრობენ.","Georgian"
" უფრო მეტიც","Georgian"
" მამაკაცი ოჯახის უფროსია.","Georgian"
"ინდოეთი უზარმაზარ დღესასწაულს აღნიშნავს","Georgian"
" ფესტივალების რაოდენობა.","Georgian"
" ეს ფესტივალები ძალიან მრავალფეროვანია","Georgian"
" მრავალრელიგიის გამო და","Georgian"
" მულტიკულტურული ინდური საზოგადოება.","Georgian"
" ინდოელები დიდად აფასებენ სადღესასწაულო ღონისძიებებს.","Georgian"
"უპირველეს ყოვლისა","Georgian"
"უერთდება დღესასწაულებს","Georgian"
" განსხვავებების მიუხედავად.","Georgian"
"ტრადიციული ინდური საკვები","Georgian"
" მუსიკა","Georgian"
" და არქიტექტურა მნიშვნელოვნად განსხვავდება","Georgian"
" სხვადასხვა რეგიონში.","Georgian"
" ეს კომპონენტები გავლენას ახდენენ","Georgian"
" სხვადასხვა ფაქტორებით.","Georgian"
" უპირველეს ყოვლისა","Georgian"
" გეოგრაფია","Georgian"
" და სოფლის/ქალაქის გარემოში.","Georgian"
"ინდური კულტურა იყო შთაგონების წყარო","Georgian"
" ბევრ მწერალს.","Georgian"
" ინდოეთი","Georgian"
"ერთიანობის მთელ მსოფლიოში.","Georgian"
" ინდური კულტურა","Georgian"
" გარდა ამისა","Georgian"
"ინდური იდენტობის კონცეფცია","Georgian"
" გარკვეულ სირთულეებს უქმნის.","Georgian"
" თუმცა","Georgian"
" ინდური კულტურა არსებობს.","Georgian"
" შექმნა ამ ტიპიური","Georgian"
"ინდური კულტურა ზოგიერთიდან გამომდინარეობს","Georgian"
"შინაგანი ძალები.","Georgian"
" უპირველეს ყოვლისა","Georgian"
"არის მყარი კონსტიტუცია","Georgian"
"უნივერსალური ზრდასრული ფრენჩაიზია","Georgian"
" პოლიტიკა","Georgian"
"ინდოეთის კულტურა ასახავს","Georgian"
" რწმენა","Georgian"
" და რელიგიური მიდრეკილებები","Georgian"
" ინდოეთის ხალხი.","Georgian"
"ინდოეთი კულტურულად მრავალფეროვანი ქვეყანაა","Georgian"
" ყველა რეგიონთან ერთად","Georgian"
"თავისი განსხვავებული კულტურა","Georgian"
" აისახება ენაზე","Georgian"
" და ხალხის ტრადიციები.","Georgian"
" ერთი სახელმწიფოს ხალხი სრულიად","Georgian"
"განსხვავებული კულტურული ნიშნით","Georgian"
" სხვა სახელმწიფოების ხალხისგან","Georgian"
" მიუხედავად ამისა","Georgian"
" კანონის უზენაესობა.","Georgian"
"კულტურა ასევე მოქმედებს როგორც ფანჯარა","Georgian"
" ინდოეთის გარესამყაროს.","Georgian"
" სხვადასხვას დათვალიერებით","Georgian"
" ინდოეთის კულტურები","Georgian"
